,sport,school,coach
1,Basketball,Skyline,Ronnie McCarver
2,Basketball,Covenant Christian,Bret Waldrep
3,Basketball,Pickens County,marcuss barnes
4,Basketball,Belgreen,Marty Cooper
5,Basketball,Jacksonville Christian Academy,Coach Morgan
6,Basketball,Spring Garden,Ricky Austin
7,Basketball,Florala,Troy Turman
8,Basketball,Marion,Johnny McCalpine
9,Basketball,Millry,Teddy Taylor
10,Basketball,Georgiana,Kirk Norris
11,Basketball,Brantley,Andre Parks
12,Basketball,Cornerstone,Ronald Steele
13,Basketball,Decatur Heritage Christian Academy,Jason Marshall
14,Basketball,Lanett,John Norris
15,Basketball,Alabama School for the Deaf,Walter Ripley
16,Basketball,Lindsay Lane Christian Academy,Stephen Murr
17,Basketball,McIntosh,Tereance Pinkney
18,Basketball,Autaugaville,Darren Golson
19,Basketball,Whitesburg Christian Academy,Rob Murphy
20,Basketball,Maplesville,Stacy McGehee
21,Basketball,Shields,DeNeidra Wiggins
22,Basketball,R.A. Hubbard,"Milton ""Sonny"" Conwill"
23,Basketball,Mars Hill Bible,Mike Mitchell
24,Basketball,Winterboro,Sheroderick Smith
25,Basketball,Athens Bible,Lance Taylor
26,Basketball,Phillips,Senn Williams
27,Basketball,Berry,Josh Northington
28,Basketball,Woodville,kevin smith
29,Basketball,Faith Christian,Justin Kisor
30,Basketball,Notasulga,Clifton Knight
31,Basketball,Ellwood Christian,Willie Shears
32,Basketball,Brilliant,Ryan Sanderson
33,Basketball,Wadley,Logan Cofield
34,Basketball,Lynn,Tab Jefferson
35,Basketball,Linden,Cordarrin WIlson
36,Basketball,Pleasant Home,Troy Turman
37,Basketball,Marion County,willie c williams
38,Basketball,Loachapoka,Shane Colquhoun
39,Basketball,Red Level,Allen Catrett
40,Basketball,Kinston,Karl Bledsoe
41,Basketball,Marengo,Jamal Smith
42,Basketball,Coosa Christian,Jammie Lett
43,Basketball,Talladega County Central,Acardia Garrett
44,Basketball,Shoals Christian,Wes Hall
45,Basketball,Falkville,Josh Scott
46,Basketball,Elba,William Moguel
47,Basketball,Hackleburg,Trey George
48,Basketball,Jefferson Christian Academy,Gerald Lee
49,Basketball,Verbena,Christopher Doss
50,Basketball,Oakwood Academy,Shawn Green
51,Basketball,Billingsley,Marvin Morton
52,Basketball,Vina,D Raper
53,Basketball,Donoho,Jeremy Satcher
54,Basketball,St. Luke's Episcopal,Kantonio Davis
55,Basketball,McKenzie,Miles Brown
56,Basketball,LaFayette,Obadiah Threadgill III
57,Basketball,Vincent,Ernie Adkins
58,Basketball,Geneva County,Joshua Thompson
59,Basketball,Blacksher,James Bohannon
60,Basketball,Thorsby,Russell Ricks
61,Basketball,Red Bay,Matt Noah
62,Basketball,North Sand Mountain,Cole Hicks
63,Basketball,Sand Rock,Eddy Norris
64,Basketball,Luverne,Richard Dorsey
65,Basketball,Calhoun,Ervin Starr
66,Basketball,Westbrook Christian,Seth Ford
67,Basketball,Asbury,Johnny Pelham
68,Basketball,Barbour County,Steve Fryer
69,Basketball,Sheffield,Pervis Key
70,Basketball,Sulligent,tommy chism
71,Basketball,Daleville,blake garner
72,Basketball,Aliceville,Christopher Walker
73,Basketball,Cold Springs,Tim Burleson
74,Basketball,Section,Derek wynn
75,Basketball,Central of Coosa County,Jeremy Freeman
76,Basketball,Sacred Heart Catholic,Ralpheal Graves
77,Basketball,Chickasaw,Ricky Ruffin
78,Basketball,Highland Home,Shawn Sellers
79,Basketball,Hatton,Eric Tate
80,Basketball,Zion Chapel,Jared Robison
81,Basketball,Addison,Benjamin Mastin
82,Basketball,Collinsville,Jon Tidmore
83,Basketball,Hatch,Dewayne Thigpen
84,Basketball,Ariton,Kelsey Prestwood
85,Basketball,Tharptown,Shannon Benford
86,Basketball,Altamont,Barry Bearden
87,Basketball,Cottage Hill Christian Academy,John Price
88,Basketball,Abbeville,Willam Helms
89,Basketball,Goshen,Daniell Powell
90,Basketball,Cottonwood,BJ Chitty
91,Basketball,Central,Toiano Baker
92,Basketball,West End,Sanford King
93,Basketball,Cleveland,Justin Henley
94,Basketball,Leroy,Nehemiah Henry
95,Basketball,Long,Richard Tisdale
96,Basketball,Ranburne,Dustin Smith
97,Basketball,Ider,blake laney
